Column name,Description,Type,Values or characteristics
trialOns,"Onset of current trial, relative to tSession, in seconds",double,Posible values: > 0
trialDur,"Duration of current trial, in seconds",double,Posible values: > 0
fixOns,"Actual onset of fixation stimulus, in seconds",double,Posible values: > 0
fixOnsDt,"Actual minus planned onset of fixation stimulus, in seconds",double,Typically between -0.0167 and 0.0167
fixDur,"Actual duration of fixation stimulus, in seconds",double,Posible values: > 0
fixDurDt,"Actual minus planned duration of fixation stimulus, in seconds",double,Typically between -0.0167 and 0.0167
s1Ons,"Actual onset of primary (go) stimulus, in seconds",double,Posible values: > 0
s1OnsDt,"Actual minus planned onset of primary (go) stimulus, in seconds",double,Typically between -0.0167 and 0.0167
s1Dur,"Actual duration of primary (go) stimulus, in seconds",double,Posible values: > 0
s1DurDt,"Actual minus planned duration of primary (go) stimulus, in seconds",double,Typically between -0.0167 and 0.0167
s2Ons,"Actual onset of secondary (signal) stimulus, in seconds",double,Posible values: > 0
s2OnsDt,"Actual minus planned onset of secondary (signal) stimulus, in seconds",double,Typically between -0.0167 and 0.0167
s2Dur,"Actual duration of secondary (signal) stimulus, in seconds",double,Posible values: > 0
s2DurDt,"Actual minus planned duration of secondary (signal) stimulus, in seconds",double,Typically between -0.0167 and 0.0167
waitedForTrigger,Whether or not the stimulus presentation software waited for a trigger,logical,"Possible values: TRUE, FALSE, 1, 0"
keyCount_f,Number of key strokes recorded for f-key,integer,Possible values: >= 0
keyTime1_f,"Time of first f-key stroke, relative to trial onset, in seconds",double,Possible values: > 0
keyTime2_f,"Time of second f-key stroke, relative to trial onset, in seconds",double,Possible values: > 0
keyCount_b,Number of key strokes recorded for b-key,integer,Possible values: >= 0
keyTime1_b,"Time of first b-key stroke, relative to trial onset",double,Possible values: > 0
keyTime2_b,"Time of second b-key stroke, relative to trial onset",double,Possible values: > 0
keyCount_e,Number of key strokes recorded for e-key,integer,Possible values: >= 0
keyTime1_e,"Time of first e-key stroke, relative to trial onset",double,Possible values: > 0
keyTime2_e,"Time of second e-key stroke, relative to trial onset",double,Possible values: > 0
keyCount_a,Number of key strokes recorded for a-key,integer,Possible values: >= 0
keyTime1_a,"Time of first a-key stroke, relative to trial onset",double,Possible values: > 0
keyTime2_a,"Time of second a-key stroke, relative to trial onset",double,Possible values: > 0
rt1_f,"Response time of first f-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_f,"Response time of second f-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_b,"Response time of first b-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_b,"Response time of second b-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_e,"Response time of first e-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_e,"Response time of second e-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_a,"Response time of first a-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_a,"Response time of second a-key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_mean,"Mean response time across first bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_mean,"Mean response time across second bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_min,"Response time of fastest response of first bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_min,"Response time of fastest response of second bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt1_max,"Response time of slowest response of first bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rt2_max,"Response time of slowest response of second bimanual key stroke, in seconds",double,"Possible values: > 0, typically < 2"
rtDiff1_f-b,"Response time difference between first f-key and b-key strokes, in seconds",double,
rtDiff1_e-a,"Response time difference between first e-key and a-key strokes, in seconds",double,
rtDiff2_f-b,"Response time difference between second f-key and b-key strokes, in seconds",double,
rtDiff2_e-a,"Response time difference between second e-key and a-key strokes, in seconds",double,
rtDiff1_mean,"Response time difference between responses of first bimanual key stroke, in seconds",double,
rtDiff2_mean,"Response time difference between responses of second bimanual key stroke, in seconds",double,
rpt1_f,"Raw processing time (amount of time available for viewing the stop signal) for first f-key stroke, in seconds",double,
rpt2_f,"Raw processing time for second f-key stroke, in seconds",double,
rpt1_b,"Raw processing time for first b-key stroke, in seconds",double,
rpt2_b,"Raw processing time for second b-key stroke, in seconds",double,
rpt1_e,"Raw processing time for first e-key stroke, in seconds",double,
rpt2_e,"Raw processing time for second e-key stroke, in seconds",double,
rpt1_a,"Raw processing time for first a-key stroke, in seconds",double,
rpt2_a,"Raw processing time for second a-key stroke, in seconds",double,
rpt1_mean,"Mean raw processing time across first bimanual key stroke, in seconds",double,
rpt2_mean,"Mean raw processing time across second bimanual key stroke, in seconds",double,
rpt1_min,"Raw processing time of fastest response of first bimanual key stroke, in seconds",double,
rpt2_min,"Raw processing time of fastest response of second bimanual key stroke, in seconds",double,
rpt1_max,"Raw processing time of slowest response of first bimanual key stroke, in seconds",double,
rpt2_max,"Raw processing time of slowest response of second bimanual key stroke, in seconds",double,
trialCorrect,Whether or not the trial was performed correctly,logical,"Possible values: TRUE, FALSE, 1, 0"
trialType,Trial type,character,"Possible values:  NS (no-signal), SL (stop-left), SR (stop-right), SB (stop-both), IG (ignore)"
responseType,Type of response made;,character,"Possible values: RB, RL, RR, RBO, RLO, RRO, NR, NOR, see preregistration document for further info"
trialFeedback,Feedback presented at the end of the trial,character,Possible values: see trialEvalData_*.csv under csvfiles of StPy stimulus presentation code
